index,operator,row_number,height,avg_height,stddev_height,ucl,lcl,alert
0,Op-1,5,19.46,19.778,1.062812307,21.20391234,18.35208766,FALSE
1,Op-1,6,20.36,19.912,1.090811624,21.37547737,18.44852263,FALSE
2,Op-1,7,20.22,20.03,1.084573649,21.48510824,18.57489176,FALSE
3,Op-1,8,21.03,19.934,0.931225,21.18336944,18.68463056,FALSE
4,Op-1,9,19.78,20.17,0.598832197,20.9734177,19.3665823,FALSE
5,Op-1,10,20.71,20.42,0.476812332,21.05971087,19.78028913,FALSE
6,Op-1,11,20.62,20.472,0.482773239,21.11970827,19.82429173,FALSE
7,Op-1,12,19.51,20.33,0.650653518,21.2029433,19.4570567,FALSE
8,Op-1,13,20.06,20.136,0.521564953,20.83575281,19.43624719,FALSE
9,Op-1,14,20.3,20.24,0.483270111,20.88837489,19.59162511,FALSE
10,Op-1,15,20.25,20.148,0.409597363,20.69753253,19.59846747,FALSE
11,Op-1,16,20.52,20.128,0.382321854,20.64093859,19.61506141,FALSE
12,Op-1,17,19.33,20.092,0.456366081,20.70427935,19.47972065,TRUE
13,Op-1,18,19.12,19.904,0.632479249,20.75255996,19.05544004,FALSE
14,Op-1,19,19.37,19.718,0.62359442,20.55463971,18.88136029,FALSE
15,Op-1,20,18.8,19.428,0.650899378,20.30127315,18.55472685,FALSE
16,Op-1,21,19.94,19.312,0.417456585,19.87207678,18.75192322,TRUE
17,Op-1,22,19.79,19.404,0.469819114,20.03432849,18.77367151,FALSE
18,Op-1,23,22.31,20.042,1.342747184,21.84348439,18.24051561,TRUE
19,Op-1,24,20.17,20.202,1.289251721,21.93171269,18.47228731,FALSE
20,Op-1,25,19.54,20.35,1.119352491,21.85176896,18.84823104,FALSE
21,Op-1,26,21.22,20.606,1.148141977,22.14639411,19.06560589,FALSE
22,Op-10,5,20.31,20.242,0.940249967,21.5034777,18.9805223,FALSE
23,Op-10,6,20.91,20.42,0.971442227,21.72332651,19.11667349,FALSE
24,Op-10,7,19.15,19.918,0.804686274,20.99759993,18.83840007,FALSE
25,Op-10,8,20.35,19.95,0.821218607,21.05178038,18.84821962,FALSE
26,Op-10,9,19.9,20.124,0.652364929,20.9992394,19.2487606,FALSE
27,Op-10,10,21.38,20.338,0.86837204,21.50304335,19.17295665,FALSE
28,Op-10,11,21.13,20.382,0.909213946,21.60183851,19.16216149,FALSE
29,Op-10,12,21.42,20.836,0.677443725,21.74488613,19.92711387,FALSE
30,Op-10,13,18.58,20.482,1.231105195,22.13370094,18.83029906,TRUE
